date,symbol,signal,score,entry,exit,sl,tp,outcome,pnl_pct,bars_held
2026-03-23 02:00:00,XRPUSD,BUY,80,1.38252,1.36348,1.36348,1.39961,LOSS,-1.3775,5
2026-03-24 02:00:00,XRPUSD,SELL,80,1.41311,1.38023,1.4497,1.38023,WIN,2.3267,53
2026-03-27 02:00:00,XRPUSD,BUY,80,1.36932,1.34506,1.34506,1.38431,LOSS,-1.7719,6
2026-03-28 02:00:00,XRPUSD,BUY,80,1.32394,1.34524,1.31272,1.34524,WIN,1.6092,11
2026-04-02 02:00:00,XRPUSD,SELL,80,1.32755,1.33796,1.36929,1.33796,WIN,-0.784,0
2026-04-11 02:00:00,XRPUSD,BUY,80,1.3528,1.34433,1.34433,1.36773,LOSS,-0.6258,4
2026-04-12 02:00:00,XRPUSD,BUY,80,1.32874,1.34154,1.34154,1.36894,LOSS,0.963,0
2026-04-14 02:00:00,XRPUSD,BUY,80,1.36615,1.38561,1.34427,1.38561,WIN,1.4245,11
2026-04-16 02:00:00,XRPUSD,BUY,80,1.40006,1.41761,1.38142,1.41761,WIN,1.2537,7
2026-04-17 02:00:00,XRPUSD,BUY,80,1.42982,1.4718,1.4169,1.4718,WIN,2.9358,11
2026-04-18 02:00:00,XRPUSD,SELL,80,1.4775,1.44386,1.50026,1.44386,WIN,2.2768,8
2026-04-19 02:00:00,XRPUSD,SELL,80,1.43108,1.41754,1.44335,1.41754,WIN,0.946,5
2026-04-20 02:00:00,XRPUSD,SELL,80,1.40787,1.42289,1.42289,1.38607,LOSS,-1.0671,5
2026-04-26 02:00:00,XRPUSD,SELL,80,1.419,1.42612,1.42612,1.41371,LOSS,-0.5017,3
2026-04-28 02:00:00,XRPUSD,BUY,80,1.3976,1.38725,1.38725,1.41285,LOSS,-0.7406,4
2026-04-29 02:00:00,XRPUSD,BUY,80,1.38237,1.39566,1.3743,1.39566,WIN,0.9611,2
2026-04-30 02:00:00,XRPUSD,BUY,80,1.37871,1.36782,1.36782,1.40436,LOSS,-0.7901,0
2026-05-02 02:00:00,XRPUSD,SELL,80,1.3845,1.39691,1.39691,1.37178,LOSS,-0.8962,19
2026-05-03 02:00:00,XRPUSD,SELL,80,1.38359,1.39625,1.39625,1.38029,LOSS,-0.915,9
