date,symbol,signal,score,entry,exit,sl,tp,outcome,pnl_pct,bars_held
2026-03-12 12:00:00,EURUSD,SELL,80,1.15478,1.15131,1.15653,1.15131,WIN,0.3005,14
2026-03-16 12:00:00,EURUSD,BUY,80,1.14552,1.14676,1.14109,1.14676,WIN,0.1082,9
2026-03-17 12:00:00,EURUSD,BUY,80,1.1493,1.14746,1.14746,1.1532,LOSS,-0.1599,5
2026-03-18 12:00:00,EURUSD,BUY,80,1.1533,1.15229,1.15229,1.15619,LOSS,-0.0875,7
2026-03-19 12:00:00,EURUSD,SELL,80,1.14736,1.14934,1.14934,1.1425,LOSS,-0.173,12
2026-03-20 12:00:00,EURUSD,BUY,80,1.15738,1.15413,1.15413,1.16253,LOSS,-0.2811,9
2026-03-21 12:00:00,EURUSD,BUY,80,1.15915,1.15708,1.15708,1.16441,LOSS,-0.1789,40
2026-03-23 12:00:00,EURUSD,SELL,80,1.15462,1.15365,1.15799,1.15365,WIN,0.0844,4
2026-03-24 12:00:00,EURUSD,BUY,80,1.15901,1.15576,1.15576,1.16752,LOSS,-0.2804,39
2026-03-25 12:00:00,EURUSD,BUY,80,1.16246,1.15865,1.15865,1.16518,LOSS,-0.3278,12
2026-03-26 12:00:00,EURUSD,SELL,80,1.15587,1.15329,1.15838,1.15329,WIN,0.2232,10
2026-03-27 12:00:00,EURUSD,BUY,80,1.15306,1.15134,1.15134,1.15636,LOSS,-0.1494,9
2026-03-30 12:00:00,EURUSD,SELL,80,1.15064,1.15106,1.15106,1.14655,LOSS,-0.0367,1
2026-03-31 12:00:00,EURUSD,SELL,80,1.14756,1.14738,1.14738,1.14327,LOSS,0.0157,0
2026-04-01 12:00:00,EURUSD,BUY,80,1.15754,1.16124,1.15461,1.16124,WIN,0.3194,11
2026-04-04 12:00:00,EURUSD,SELL,80,1.15197,1.15045,1.1533,1.15045,WIN,0.1319,41
2026-04-08 12:00:00,EURUSD,BUY,80,1.16756,1.17101,1.16432,1.17101,WIN,0.2959,10
2026-04-12 12:00:00,EURUSD,SELL,80,1.17257,1.17194,1.17315,1.17194,WIN,0.0536,15
2026-04-13 12:00:00,EURUSD,SELL,80,1.16868,1.17133,1.17133,1.16512,LOSS,-0.2267,12
2026-04-14 12:00:00,EURUSD,BUY,80,1.17603,1.1792,1.17465,1.1792,WIN,0.2694,5
2026-04-16 12:00:00,EURUSD,BUY,80,1.18023,1.18237,1.1795,1.18237,WIN,0.1814,1
2026-04-20 12:00:00,EURUSD,SELL,80,1.17575,1.17827,1.17827,1.17186,LOSS,-0.2141,13
2026-04-21 12:00:00,EURUSD,BUY,80,1.17805,1.17697,1.17697,1.18015,LOSS,-0.0921,5
2026-04-22 12:00:00,EURUSD,SELL,80,1.17445,1.1708,1.17719,1.1708,WIN,0.3107,17
2026-04-23 12:00:00,EURUSD,SELL,80,1.17092,1.16919,1.17271,1.16919,WIN,0.1479,7
2026-04-25 12:00:00,EURUSD,BUY,80,1.17174,1.17036,1.17036,1.17354,LOSS,-0.118,41
2026-04-26 12:00:00,EURUSD,SELL,80,1.17225,1.17263,1.17263,1.17151,LOSS,-0.0322,12
2026-04-27 12:00:00,EURUSD,SELL,80,1.17246,1.17303,1.17303,1.16967,LOSS,-0.0487,1
2026-05-01 12:00:00,EURUSD,BUY,80,1.17313,1.17564,1.17081,1.17564,WIN,0.2136,9
